w2,l,z1,L,ngdl,nel,eta,R,file
324876.3114,3,0.3,20.436,3000,729,1.236005433,12.6774862,SiCube_l3_0_0_300_L_20_436.json
229516.2711,3,0.3,25.884,3000,729,1.315841544,16.05715663,SiCube_l3_0_0_300_L_25_884.json
1064012.573,3,0.3,9.566,3000,729,1.047054336,5.934274467,SiCube_l3_0_0_300_L_9_566.json
623942.9879,3,0.4,14.999,3000,729,1.257187986,9.304639634,SiCube_l3_0_0_400_L_14_999.json
377575.0558,3,0.4,20.436,3000,729,1.332487073,12.6774862,SiCube_l3_0_0_400_L_20_436.json
258658.738,3,0.4,25.884,3000,729,1.396884284,16.05715663,SiCube_l3_0_0_400_L_25_884.json
1358784.964,3,0.4,9.566,3000,729,1.18323554,5.934274467,SiCube_l3_0_0_400_L_9_566.json
732347.4428,3,0.5,14.999,3000,729,1.362028994,9.304639634,SiCube_l3_0_0_500_L_14_999.json
429421.538,3,0.5,20.436,3000,729,1.421030072,12.6774862,SiCube_l3_0_0_500_L_20_436.json
287205.4418,3,0.5,25.884,3000,729,1.471950435,16.05715663,SiCube_l3_0_0_500_L_25_884.json
1652975.97,3,0.5,9.566,3000,729,1.305055885,5.934274467,SiCube_l3_0_0_500_L_9_566.json
840230.6807,3,0.6,14.999,3000,729,1.458905078,9.304639634,SiCube_l3_0_0_600_L_14_999.json
480771.4329,3,0.6,20.436,3000,729,1.503594346,12.6774862,SiCube_l3_0_0_600_L_20_436.json
315384.1825,3,0.6,25.884,3000,729,1.542470292,16.05715663,SiCube_l3_0_0_600_L_25_884.json
1946866.833,3,0.6,9.566,3000,729,1.416328397,5.934274467,SiCube_l3_0_0_600_L_9_566.json
947798.1262,3,0.7,14.999,3000,729,1.549478987,9.304639634,SiCube_l3_0_0_700_L_14_999.json
531806.4375,3,0.7,20.436,3000,729,1.581386955,12.6774862,SiCube_l3_0_0_700_L_20_436.json
343319.1057,3,0.7,25.884,3000,729,1.609332717,16.05715663,SiCube_l3_0_0_700_L_25_884.json
2240582.597,3,0.7,9.566,3000,729,1.519414682,5.934274467,SiCube_l3_0_0_700_L_9_566.json
1055159.797,3,0.8,14.999,3000,729,1.634883783,9.304639634,SiCube_l3_0_0_800_L_14_999.json
582629.1777,3,0.8,20.436,3000,729,1.655226657,12.6774862,SiCube_l3_0_0_800_L_20_436.json
371083.9473,3,0.8,25.884,3000,729,1.673142527,16.05715663,SiCube_l3_0_0_800_L_25_884.json
2534187.318,3,0.8,9.566,3000,729,1.615902661,5.934274467,SiCube_l3_0_0_800_L_9_566.json
1162379.927,3,0.9,14.999,3000,729,1.715938897,9.304639634,SiCube_l3_0_0_900_L_14_999.json
633302.0318,3,0.9,20.436,3000,729,1.725705955,12.6774862,SiCube_l3_0_0_900_L_20_436.json
398725.3547,3,0.9,25.884,3000,729,1.734338163,16.05715663,SiCube_l3_0_0_900_L_25_884.json
2827717.205,3,0.9,9.566,3000,729,1.706922592,5.934274467,SiCube_l3_0_0_900_L_9_566.json
1269498.537,3,1,14.999,3000,729,1.793262515,9.304639634,SiCube_l3_0_1_000_L_14_999.json
683865.1089,3,1,20.436,3000,729,1.793273704,12.6774862,SiCube_l3_0_1_000_L_20_436.json
426274.3121,3,1,25.884,3000,729,1.79325246,16.05715663,SiCube_l3_0_1_000_L_25_884.json
3121194.268,3,1,9.566,3000,729,1.793313591,5.934274467,SiCube_l3_0_1_000_L_9_566.json
3305.89096,4,0,14.999,3000,729,0.091510732,9.304639634,SiCube_l4_0_0_000_L_14_999.json
5748.767028,4,0,20.436,3000,729,0.164417754,12.6774862,SiCube_l4_0_0_000_L_20_436.json
9421.488963,4,0,25.884,3000,729,0.26659784,16.05715663,SiCube_l4_0_0_000_L_25_884.json
1352.400822,4,0,9.566,3000,729,0.037329189,5.934274467,SiCube_l4_0_0_000_L_9_566.json
